stock_code,market,alias,alias_type,source,confidence,updated_at
00036,HK,远东控股国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875811
00037,HK,00037,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875822
00037,HK,远东酒店实业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875824
00038,HK,00038,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875835
00038,HK,第一拖拉机股份,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875837
00039,HK,00039,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875848
00039,HK,中国北大荒,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875850
00040,HK,00040,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875861
00040,HK,金山科技工业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875863
00041,HK,00041,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875875
00041,HK,鹰君,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875878
00042,HK,00042,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875891
00042,HK,东北电气,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875893
00045,HK,00045,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875905
00045,HK,大酒店,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875907
00046,HK,00046,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875919
00046,HK,科联系统,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875921
00048,HK,00048,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875932
00048,HK,中国汽车内饰,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875934
00050,HK,00050,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875946
00050,HK,香港小轮(集团),company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875950
00051,HK,00051,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875962
00051,HK,海港企业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875964
00052,HK,00052,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875975
00052,HK,大快活集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875977
00053,HK,00053,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875988
00053,HK,国浩集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875990
00055,HK,00055,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876001
00055,HK,中星集团控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876003
00057,HK,00057,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876014
00057,HK,震雄集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876016
00058,HK,00058,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876027
00058,HK,新威国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876029
00059,HK,00059,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876040
00059,HK,天誉置业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876042
00060,HK,00060,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876054
00060,HK,香港食品投资,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876056
00061,HK,00061,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876067
00061,HK,绿领控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876069
00062,HK,00062,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876081
00062,HK,载通,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876083
00063,HK,00063,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876096
00063,HK,中亚烯谷集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876098
00064,HK,00064,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876109
00064,HK,结好控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876111
00065,HK,00065,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876123
00065,HK,弘海高新资源,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876126
00066,HK,00066,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876140
00066,HK,港铁公司,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876143
00068,HK,00068,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876158
00068,HK,群核科技,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876160
00069,HK,00069,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876171
00069,HK,香格里拉(亚洲),company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876173
00070,HK,00070,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876184
00070,HK,金粤控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876186
00071,HK,00071,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876197
00071,HK,美丽华酒店,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876199
00072,HK,00072,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876209
00072,HK,超媒体控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876211
